treeNum trajNum nleaves height origin
88 1517 183 115.761603997 118.025592232
89 1523 124 50.0296446864 51.7044479442
90 1535 144 64.2829661368 67.7474850393
91 1537 126 94.2927690483 96.5496072953
92 1543 132 41.9589712998 45.3802258746
93 1556 126 99.8659492549 100.60008266
94 1568 107 96.9773324856 97.9902419473
95 1602 161 48.3195469839 48.9157972005
96 1649 165 94.0012095248 94.8481353859
97 1700 147 68.5168716405 70.0147288477
98 1711 171 96.7084597682 97.5557740634
99 1715 133 56.3170434574 64.9677807937
100 1722 175 99.503517729 99.5852612212
101 1725 116 96.048261568 96.2878268366
102 1755 151 59.6006204131 59.8726550126
103 1770 173 80.4758441569 84.8808478719
104 1783 182 86.8147131046 95.4196103002
105 1786 140 90.8989949044 91.2735903128
106 1824 143 70.2794893161 72.5391142818
107 1845 131 60.019357045 63.4100426408
108 1847 123 76.7489079891 81.9160364235
109 1874 164 95.1218588101 97.151458207
110 1880 166 112.932499962 116.116388049
111 1903 111 64.3025709302 68.1693033686
112 1909 118 78.0836682007 82.0432345541
113 1931 121 89.5729174648 97.4967402716
114 1997 129 84.1121120728 87.8163984936
115 2016 177 103.842444453 106.520390353
116 2034 104 56.1382514027 56.2460515187
117 2044 107 61.3790537894 61.5345766779
118 2045 144 105.196083449 108.863185969
119 2055 107 58.4778270385 60.9399450475
120 2063 142 76.6891923094 79.4121118017
121 2076 141 69.515934378 69.9303918425
122 2084 128 46.7953918872 47.1349303209
123 2105 105 44.6223446796 45.4324424908
124 2145 112 109.669491395 109.700466584
125 2163 112 68.9423672572 70.8758801617
126 2183 117 64.7669784815 72.8800347976
127 2184 154 51.7531681669 52.104280882
128 2300 166 66.7300363839 66.8945976369
129 2304 119 95.2929312631 101.194345649
130 2305 135 65.3619321175 70.8253857598
131 2308 212 127.672385249 131.814688592
132 2316 102 53.5529119925 55.4120746926
133 2331 116 93.9537975494 95.8161375087
134 2340 131 70.5559273789 72.2933208954
135 2362 120 84.6839744002 85.5116514425
136 2374 170 97.5619849338 100.579014429
137 2378 106 54.5408788965 58.41071821
138 2385 110 77.5561642846 78.8959925189
139 2417 140 60.4476639556 61.286316272
140 2419 157 62.2701507556 63.0970308477
141 2420 114 102.579663088 113.106267219
142 2431 115 80.620791191 82.8265550479
143 2460 159 87.4482779658 94.2047407808
144 2471 185 105.599277652 106.367011295
145 2559 151 114.90363998 116.080840824
146 2572 117 65.9169232245 66.8094312303
147 2585 145 82.5027559288 83.0502562133
148 2595 109 62.6240860188 65.388847029
149 2605 136 85.2708911578 86.9613582759
150 2614 118 50.1227699018 50.2636089399
151 2648 130 83.7225770558 86.4564096402
152 2654 113 72.2769433163 72.3457142014
153 2691 195 102.850205755 109.823053331
154 2692 141 119.457017134 119.533549409
155 2708 192 108.281543339 112.741465584
156 2709 138 100.965302881 105.143759899
157 2743 118 77.7633849559 78.9172368561
158 2784 132 79.3893771271 81.3638218937
159 2793 155 73.0433666932 75.3824710377
160 2812 156 93.221121386 95.0965419865
161 2825 160 117.285051635 121.875591491
162 2836 164 63.6784317535 63.7320873571
163 2850 175 93.6229634204 95.2521177426
164 2855 177 82.2962996863 85.9378790711
165 2868 115 67.3594181846 69.7062131599
166 2877 164 98.3304870263 98.9851226655
167 2886 135 80.2501088431 81.4943410382
168 2890 104 87.8673060477 90.493079663
169 2891 139 129.384857985 130.333527113
