treeNum trajNum nleaves height origin
67 433 307 73.0627014636 73.9819186185
68 450 252 78.1131296257 78.4040969472
69 458 222 74.2176297285 74.8230682094
70 461 193 64.6727788694 64.9305065849
71 473 206 84.4028939055 88.7044355585
72 482 271 114.821511005 115.535247848
73 483 195 97.2011313229 99.5851268365
74 485 150 74.2578867495 74.3473945207
75 503 203 67.4252236749 73.119746955
76 516 288 108.085134338 108.205442051
77 518 290 52.4608747262 52.9450320352
78 524 165 48.7951049944 49.7573477602
79 526 268 58.4697856417 58.9386287552
80 539 203 84.1488170379 85.1596107827
81 541 155 73.0293488241 79.0917730747
82 547 188 108.248254193 109.175740719
83 551 133 76.5772531167 77.0922236304
84 567 292 103.811627699 106.310488322
85 574 231 80.9852091916 81.0342360112
86 583 337 123.77890335 129.570772442
87 596 185 73.974068297 74.944586723
88 599 300 73.3919405527 75.4368587616
89 602 123 46.1819696528 47.0215384822
90 606 265 84.5066648111 85.3864320865
91 608 277 68.6282906052 69.2409363904
92 612 264 103.370922483 104.795410116
93 616 279 90.1315884262 90.4387322017
94 620 215 89.5534643057 89.6022076684
95 621 217 59.7293853925 60.4301690223
96 622 290 97.7548138329 97.9576191997
97 624 172 79.8080085226 81.5864395578
98 634 249 79.2291633091 84.5280428603
99 636 162 62.7582566987 63.8494183471
100 646 198 75.717616226 76.0071926085
101 647 264 87.2708663072 89.9705440742
102 652 251 101.987303339 103.934118654
103 655 259 84.5864423579 86.9915564679
104 660 306 56.4669944008 58.0846767344
105 663 247 96.9127903008 100.895896519
106 665 123 80.7647881635 80.7999856817
107 672 238 94.8573618428 95.5778671836
108 682 277 125.738168364 126.324016831
109 692 202 64.9875904596 66.8887602484
110 713 253 107.151535269 113.525924002
111 720 200 87.7345555769 87.9129676889
112 721 284 69.4083288372 74.5402043858
113 722 129 57.8918610042 61.6402716689
114 731 340 101.661613311 105.561773938
115 733 174 60.9932784214 62.8854687757
116 735 330 148.449110907 149.718061431
117 739 290 103.406871089 103.73426444
118 740 319 58.4580485394 58.8323092965
119 747 298 116.883686701 117.979159258
120 750 182 77.220396091 79.7147555544
121 751 291 125.114777004 125.244453832
122 759 300 97.3959798968 102.737065893
123 760 190 51.527009127 52.6618611637
124 765 113 63.0780346132 64.2389770709
125 770 264 84.5276439365 86.6814760983
126 784 354 97.3111400654 97.3224441693
127 792 213 75.5793741687 79.9577163024
128 793 230 68.836197448 69.5758330263
129 796 278 133.579022996 133.665328579
130 806 266 71.7909831356 72.2888279301
131 808 296 57.1705430737 58.2361623972
132 816 127 37.2961506976 38.1019368088
133 819 177 47.1928279462 50.2495227519
134 824 269 122.869366962 122.871668954
135 825 274 103.238751312 103.325779071
136 828 363 69.5818844617 70.0571196069
137 833 284 100.821511528 101.80374555
138 839 321 70.0077411937 71.5273260573
139 850 295 69.9050790414 69.9354394927
140 851 307 87.6729785268 89.0953371444
141 856 148 62.1098040876 64.3393899674
142 858 301 64.5131449427 65.3036485763
143 866 259 75.7015293747 79.0222061143
144 869 275 79.5769698992 81.0386951793
145 874 196 88.0248408079 88.0497172983
146 875 128 53.335732148 54.7783778905
147 876 140 76.7291016996 81.1806846774
148 879 187 81.0279768082 81.4767032738
149 890 263 70.4333292412 71.3167566011
150 898 246 63.7295990483 68.6258423071
151 908 212 105.461035288 106.19783351
152 910 305 82.0183271248 85.1800585372
153 913 161 45.2597990936 45.4238696698
154 916 225 54.7945758152 59.0323154586
155 918 124 68.0508896751 69.7028174105
156 921 209 91.6233228506 94.8434578416
157 924 266 97.7877936777 98.3075927494
158 932 237 94.6021670739 95.9494858476
159 939 241 69.9783505751 70.2059664754
160 948 118 71.6012826052 73.4069907981
161 949 134 52.6116904156 54.3265371593
162 953 190 94.9885047054 99.435192665
163 958 269 76.241056378 77.432249982
164 960 279 85.4311150012 86.9622045017
165 969 206 66.8052898079 76.1195389259
166 975 261 72.1225009369 74.9903616618
167 979 258 103.560706164 110.58154738
168 991 229 55.1230100114 55.6905309694
169 1000 175 81.3925048306 83.1346564055
170 1008 355 71.5061371667 73.8190997472
171 1009 240 98.0224400881 98.5648871387
172 1010 218 102.111943248 105.346087054
173 1024 274 76.183714701 77.6052007403
174 1029 270 103.260491969 105.083946075
175 1035 233 106.492846184 106.866027301
