treeNum trajNum nleaves height origin
264 839 399 57.7150501657 57.7579047843
265 841 374 93.9245668246 96.6605346408
266 842 353 66.0772517652 70.3226813993
267 846 334 73.2800986694 73.5117990248
268 849 372 59.5196347621 61.2233858313
269 857 322 54.4140654448 56.3972794079
270 860 391 55.3726159177 58.0685581382
271 861 339 99.7496179151 100.375404584
272 865 268 80.7996562084 84.4986652412
273 867 468 67.332812995 67.5974693577
274 870 386 74.8399272276 75.5314377294
275 875 409 91.0842025063 91.1695527696
276 883 380 96.7655763462 100.054787791
277 887 389 67.5611730505 67.7827492806
278 888 366 64.5333441078 67.4710061855
279 892 363 86.0459267326 86.4055429012
280 895 406 92.7189355394 96.0990279808
281 899 350 78.1323306125 78.5845031333
282 900 383 82.5638846037 82.7490674129
283 904 360 54.8923683717 54.9517040487
284 910 410 77.2490640725 77.2691128619
285 916 417 65.8814061209 66.1704973771
286 919 423 64.8388466088 69.2714813787
287 920 374 94.3491300462 95.3075152803
288 923 370 60.3161049402 60.7958001236
289 928 445 59.7978382483 62.4031905877
290 930 432 74.9178990744 75.5860599241
291 931 434 61.9206858468 62.1508244586
292 932 408 92.2516355772 93.6638411503
293 935 413 57.9780760432 58.1344315198
294 939 371 55.7294196566 55.9966876593
295 946 299 102.569103678 103.330744247
296 947 386 79.5746240382 81.5864912429
297 948 342 70.1273397777 72.5130352106
298 958 328 46.9177389109 47.8813315092
299 963 387 117.836509079 120.959587676
300 966 410 83.4197315872 84.8639920131
301 969 394 73.0847218791 73.1800501595
302 972 394 83.9842493088 86.8032492506
303 978 267 83.3240897355 83.9285340559
304 979 415 94.2942513657 96.5826878196
305 981 319 96.9356618447 97.557030003
306 982 408 64.8828176752 64.9604571702
307 986 299 63.2567503411 65.1386586262
308 990 430 70.4600704346 71.0873101182
309 993 402 83.0049788521 83.1506466899
310 995 367 69.7271350203 69.8241025653
311 999 381 49.7161541138 50.9855844959
312 1002 340 74.4017606692 74.5350422718
313 1007 367 69.000259314 69.3585613086
314 1008 277 55.3018879132 57.6141220936
315 1015 440 88.9769537379 89.2479642438
316 1016 433 87.124051721 89.091398352
317 1017 417 62.2868587495 64.8787831368
318 1022 429 82.3235398892 84.4740797972
319 1025 464 59.152061113 59.2254187412
320 1026 397 88.7026394571 95.637337018
321 1029 473 51.6343711973 59.7822926587
322 1030 458 69.5563646628 73.2580950364
323 1033 419 55.8947313601 58.2803104845
324 1037 364 72.9656483676 75.1473976691
325 1038 476 49.7183467479 53.6047910723
326 1047 412 46.5534749239 47.9084339211
327 1051 402 92.7506846265 94.5050103045
328 1057 426 62.8747197204 64.0618250464
329 1064 386 86.0845194914 86.2592760477
330 1066 326 82.4479490887 82.9600161577
331 1067 394 69.1398520774 70.0476309671
332 1069 417 53.3680138489 53.5510093341
333 1071 402 88.9456888944 89.5791748384
334 1082 318 74.6666117017 74.8420271057
335 1084 406 74.9733021481 78.5295906686
336 1093 436 59.1947984393 60.4644748774
337 1097 390 60.5232255583 61.2289030163
338 1099 350 72.6169265034 72.9648462696
339 1100 348 96.7780211 97.3003801012
340 1101 376 95.1177845706 97.4926185274
341 1102 422 72.806472855 75.5729414522
342 1103 334 102.019375322 102.425050369
343 1104 370 54.2130007648 57.5925955858
344 1105 166 76.0369124482 78.8573034589
345 1119 363 69.1754334016 70.6190446959
346 1121 340 72.2298375223 73.0529722781
347 1124 376 86.2558277904 86.850024895
348 1125 384 63.2748082159 63.6609622993
349 1126 391 96.5441833558 99.5908625074
350 1134 385 62.5358656509 66.9732773155
351 1137 405 63.2431974282 64.6405396415
352 1139 384 61.586355471 62.5863497331
353 1142 414 71.9201332681 72.9115106756
354 1144 417 49.4041170188 49.4806436833
355 1147 413 83.1125057924 89.0596380968
356 1150 408 58.6155931942 59.3080698317
